genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbols
ENSDARG00000102200,34.03182813,-2.495708364,0.453101438,-5.5080566,3.63e-08,6.14e-07,man2a1
ENSDARG00000030465,829.216685,-0.931652924,0.16916407,-5.50739246,3.64e-08,6.16e-07,tmem263
ENSDARG00000100789,144.5935018,-1.264731077,0.229664455,-5.506864695,3.65e-08,6.17e-07,plgrkt
ENSDARG00000093198,24.13621114,3.355886449,0.60945393,5.50638249,3.66e-08,6.18e-07,c3a.4
ENSDARG00000045802,44.46698753,2.132180169,0.387390728,5.503952503,3.71e-08,6.26e-07,hapln3
ENSDARG00000036820,1200.521601,0.641761392,0.116611497,5.503414413,3.73e-08,6.28e-07,mgll
ENSDARG00000074085,13.54743876,-7.214214173,1.311044775,-5.502645149,3.74e-08,6.3e-07,si:ch1073-188e1.1
ENSDARG00000005774,10093.10394,0.715687457,0.130108011,5.500717833,3.78e-08,6.37e-07,ddx3xb
ENSDARG00000079751,1234.114378,-0.736289882,0.133876316,-5.499776988,3.8e-08,6.39e-07,megf8
ENSDARG00000073732,947.1029792,-0.678311532,0.123432516,-5.495403911,3.9e-08,6.55e-07,myh14
ENSDARG00000058968,310.2422043,0.840312708,0.152954249,5.493882755,3.93e-08,6.6e-07,haus1
ENSDARG00000017591,874.6120728,-0.782236683,0.142466722,-5.490662462,4e-08,6.72e-07,fat1a
ENSDARG00000011488,579.3618421,-0.698573607,0.127360256,-5.485020437,4.13e-08,6.93e-07,sirt2
ENSDARG00000010246,8066.195955,0.498527531,0.090896273,5.484576142,4.14e-08,6.94e-07,prmt1
ENSDARG00000100839,103.1105065,-1.392826558,0.253954113,-5.48455995,4.14e-08,6.94e-07,BX649384.3
ENSDARG00000113284,156.860339,1.058545221,0.193030977,5.483810104,4.16e-08,6.96e-07,CABZ01090361.1
ENSDARG00000056830,312.9987162,-0.952395677,0.173683903,-5.483499983,4.17e-08,6.97e-07,si:ch211-107m4.1
ENSDARG00000089860,39.15657502,-2.342681631,0.427466172,-5.480390696,4.24e-08,7.09e-07,atxn7l1
ENSDARG00000045132,2779.310767,-0.561437605,0.102453241,-5.479939901,4.25e-08,7.1e-07,vdac1
ENSDARG00000043128,1877.980868,0.506406912,0.092493882,5.475031459,4.37e-08,7.29e-07,cldne
ENSDARG00000093498,85.9347502,-1.425582081,0.260379898,-5.475008223,4.37e-08,7.29e-07,zgc:194281
ENSDARG00000094004,94.71688825,1.727218493,0.315546247,5.473741195,4.41e-08,7.33e-07,FP102120.1
ENSDARG00000103683,608.4961651,-0.655799281,0.119845333,-5.472046887,4.45e-08,7.4e-07,inpp5b
ENSDARG00000038858,426.3707593,-0.718050119,0.131260654,-5.47041402,4.49e-08,7.46e-07,setd7
ENSDARG00000039117,598.5524987,0.838793473,0.153386452,5.468497802,4.54e-08,7.54e-07,tefa
ENSDARG00000089042,565.28638,0.647765145,0.118472775,5.467628683,4.56e-08,7.57e-07,foxb1a
ENSDARG00000093864,50.55960901,-1.946333547,0.356008889,-5.467092558,4.57e-08,7.59e-07,wee1
ENSDARG00000028661,321.3312413,0.997662937,0.182494135,5.466821915,4.58e-08,7.59e-07,cntfr
ENSDARG00000062138,49.55841389,-2.153864524,0.394219293,-5.463620275,4.67e-08,7.72e-07,ranbp10
ENSDARG00000076847,633.6311956,-0.641601126,0.11745879,-5.462350878,4.7e-08,7.77e-07,tnrc6c1
ENSDARG00000077090,18.66500029,-4.431601932,0.811721309,-5.459511636,4.77e-08,7.89e-07,si:ch211-127b11.1
ENSDARG00000039453,164.7912186,1.169684676,0.214293222,5.458337255,4.81e-08,7.94e-07,dhrs7ca
ENSDARG00000104665,1481.70641,0.604304971,0.110763206,5.455827758,4.87e-08,8.04e-07,kirrel3l
ENSDARG00000112301,26.45194406,-6.303636613,1.155378508,-5.455906066,4.87e-08,8.04e-07,CU570881.2
ENSDARG00000060542,765.7739266,-0.598857462,0.109859703,-5.451111218,5.01e-08,8.25e-07,lgr4
ENSDARG00000069934,207.5985414,0.953196783,0.174886358,5.450378155,5.03e-08,8.28e-07,parp4
ENSDARG00000103369,2927.857494,0.56215148,0.103158159,5.449413675,5.05e-08,8.32e-07,taldo1
ENSDARG00000052693,134.6663017,-1.183420244,0.21721641,-5.448116201,5.09e-08,8.37e-07,si:dkey-172m14.1
ENSDARG00000096554,1708.992539,-0.520496928,0.095565428,-5.446498187,5.14e-08,8.44e-07,si:dkey-25o16.4
ENSDARG00000014246,97.32421817,-1.548128176,0.284520158,-5.441189773,5.29e-08,8.69e-07,jag2a
ENSDARG00000016775,2321.287489,0.56783655,0.104400713,5.439010284,5.36e-08,8.79e-07,aqr
ENSDARG00000109510,1495.435713,0.524059971,0.096364354,5.438317713,5.38e-08,8.81e-07,lsm12b
ENSDARG00000062108,43.12072193,-2.148468052,0.395062731,-5.438295959,5.38e-08,8.81e-07,iffo1b
ENSDARG00000017617,440.4931168,0.725038404,0.133340642,5.437489969,5.4e-08,8.84e-07,alg6
ENSDARG00000038615,134.2223602,1.36684693,0.251431532,5.436259012,5.44e-08,8.9e-07,pip4p1a
ENSDARG00000038133,45.42461146,-2.314097119,0.425997706,-5.432182114,5.57e-08,9.1e-07,zgc:113411
ENSDARG00000033957,363.225829,-0.74497773,0.137223278,-5.428945759,5.67e-08,9.26e-07,trmt44
ENSDARG00000103394,150.0215341,-1.878712879,0.346152623,-5.42741194,5.72e-08,9.33e-07,kif5ba
ENSDARG00000020149,31.54570859,-2.939802264,0.541830796,-5.425683232,5.77e-08,9.41e-07,acoxl
ENSDARG00000060751,189.9126727,0.984275989,0.181498513,5.423052632,5.86e-08,9.55e-07,taok3a
ENSDARG00000035066,3657.153486,0.655159754,0.12085598,5.420995762,5.93e-08,9.65e-07,ubtf
ENSDARG00000029431,39.98553401,-2.209308551,0.40759871,-5.420303095,5.95e-08,9.68e-07,si:ch211-147k10.5
ENSDARG00000043701,144.6064038,-1.139947931,0.210318347,-5.420106932,5.96e-08,9.68e-07,gpd1a
ENSDARG00000044093,2609.486629,1.745983426,0.32231517,5.417006675,6.06e-08,9.84e-07,rpl13a
ENSDARG00000100969,47.09151064,-1.967469847,0.363197357,-5.417081952,6.06e-08,9.84e-07,tmprss13a
ENSDARG00000036107,3409.846528,-0.441044897,0.0814441,-5.415308097,6.12e-08,9.92e-07,txnipa
ENSDARG00000041402,109.2820512,1.831898667,0.338384659,5.413657567,6.18e-08,1e-06,zc3h14
ENSDARG00000028800,107.0763094,-1.433393756,0.264814586,-5.412820252,6.2e-08,1e-06,CYTH2
ENSDARG00000009868,207.9306095,1.182359053,0.218490785,5.411482477,6.25e-08,1.01e-06,dcaf11
ENSDARG00000034559,62.15083944,1.911966741,0.353813137,5.403888488,6.52e-08,1.05e-06,srpx2
ENSDARG00000013561,1157.833609,0.660267208,0.122192902,5.403482509,6.54e-08,1.06e-06,pgm1
ENSDARG00000034568,118.3647968,1.368209768,0.253228886,5.403055666,6.55e-08,1.06e-06,fitm2
ENSDARG00000113820,28.76380149,3.208553289,0.594226947,5.399541887,6.68e-08,1.08e-06,cyp46a1.4
ENSDARG00000111827,48.90599337,-2.297514396,0.425734306,-5.396592106,6.79e-08,1.09e-06,rcvrnb
ENSDARG00000043480,174.5703728,1.202369107,0.222876214,5.394784331,6.86e-08,1.11e-06,rbbp8
ENSDARG00000097526,35.52299333,-2.312797549,0.428855031,-5.392958881,6.93e-08,1.12e-06,CU466287.2
ENSDARG00000061397,803.6580629,-2.745013792,0.50903343,-5.392600228,6.94e-08,1.12e-06,trip12
ENSDARG00000100396,615.5991448,-0.648769406,0.12032033,-5.392018167,6.97e-08,1.12e-06,pip5k1aa
ENSDARG00000015823,216.3188869,-0.95125783,0.176478902,-5.3902071,7.04e-08,1.13e-06,vps26b
ENSDARG00000038308,407.1662808,-0.743258592,0.137916848,-5.389179083,7.08e-08,1.14e-06,ykt6
ENSDARG00000062974,18.83910844,-4.169152845,0.773713646,-5.388495945,7.1e-08,1.14e-06,itga2.2
ENSDARG00000079530,384.1349659,0.771189876,0.143135867,5.387817151,7.13e-08,1.14e-06,si:dkey-17m8.1
ENSDARG00000011498,18.33848872,-4.740303881,0.88035124,-5.384559781,7.26e-08,1.16e-06,si:ch211-212o1.2
ENSDARG00000113768,21.97626805,-6.03247156,1.120335433,-5.38452269,7.26e-08,1.16e-06,CABZ01058046.1
ENSDARG00000099657,132.017625,-1.20995607,0.224763707,-5.383235959,7.32e-08,1.17e-06,akt1
ENSDARG00000075331,1029.88914,-0.82456677,0.153358543,-5.376725376,7.59e-08,1.21e-06,golga4
ENSDARG00000100513,628.9903052,-0.632132962,0.117632534,-5.373793614,7.71e-08,1.23e-06,rps27l
ENSDARG00000077316,107.0717595,-1.300565652,0.242030523,-5.373560464,7.72e-08,1.23e-06,MB21D2
ENSDARG00000101942,1167.885581,-0.546367494,0.101715969,-5.371501655,7.81e-08,1.24e-06,si:dkey-260j18.2
ENSDARG00000015628,58.65890367,-1.803652468,0.33581374,-5.370990675,7.83e-08,1.25e-06,psmd10
ENSDARG00000098724,159.1795183,1.068975513,0.19907013,5.369843846,7.88e-08,1.25e-06,rgrb
ENSDARG00000102272,59.64344078,-1.742577386,0.324546957,-5.36926121,7.91e-08,1.26e-06,coro6
ENSDARG00000086374,22.29955221,-6.053989735,1.127613053,-5.368853898,7.92e-08,1.26e-06,isg15
ENSDARG00000043317,93.69267524,-1.513524088,0.282033561,-5.366468034,8.03e-08,1.28e-06,kita
ENSDARG00000076546,50.38458461,-2.281128371,0.425087635,-5.366254353,8.04e-08,1.28e-06,trhra
ENSDARG00000044225,394.2228901,0.759605745,0.141596994,5.364561222,8.11e-08,1.29e-06,si:dkey-27b3.2
ENSDARG00000020326,74.19346299,-1.675273052,0.312341252,-5.363598447,8.16e-08,1.29e-06,tyk2
ENSDARG00000102798,6746.312124,0.428057131,0.079811031,5.36338303,8.17e-08,1.29e-06,mcm2
ENSDARG00000018961,4195.878147,0.505083673,0.094180114,5.362954579,8.19e-08,1.3e-06,gtpbp4
ENSDARG00000060862,109.1976943,-1.483305539,0.27671519,-5.360405177,8.3e-08,1.31e-06,atxn1b
ENSDARG00000007867,989.5426796,0.549795631,0.102579027,5.359727488,8.33e-08,1.32e-06,dazap2
ENSDARG00000075467,1000.300616,-0.539471196,0.10066847,-5.35888941,8.37e-08,1.32e-06,shisa3
ENSDARG00000058365,361.1736993,0.827029553,0.154372688,5.357356698,8.44e-08,1.33e-06,hspb8
ENSDARG00000010941,131.3683377,-1.225636819,0.228810049,-5.356569018,8.48e-08,1.34e-06,pomgnt2
ENSDARG00000093381,23.30504731,-6.11841513,1.143333345,-5.351383441,8.73e-08,1.38e-06,tgm2l
ENSDARG00000063466,1089.55699,0.53764083,0.100492086,5.350081291,8.79e-08,1.38e-06,isy1
ENSDARG00000023656,24236.53408,-0.539602536,0.100866283,-5.349681973,8.81e-08,1.39e-06,he1.1
ENSDARG00000021945,175.047593,1.280392802,0.239487496,5.34638686,8.97e-08,1.41e-06,ddx23
ENSDARG00000075100,1262.103327,0.514248504,0.096295325,5.340326783,9.28e-08,1.46e-06,neo1b
ENSDARG00000103310,12.23446257,7.068236053,1.324564113,5.336273257,9.49e-08,1.49e-06,znf1053
ENSDARG00000095810,124.4603762,1.213643659,0.227447152,5.335936929,9.51e-08,1.49e-06,BX005108.2
ENSDARG00000092660,440.1601987,0.709461148,0.132971112,5.335453209,9.53e-08,1.49e-06,cyp27c1
ENSDARG00000103806,18.50942527,-4.418818212,0.828243744,-5.335166422,9.55e-08,1.5e-06,BX004785.3
ENSDARG00000103851,75.04109819,1.646303312,0.308606563,5.334634812,9.57e-08,1.5e-06,tnrc6c2
ENSDARG00000069274,97.32914452,-1.360554882,0.255144532,-5.332486922,9.69e-08,1.52e-06,ighmbp2
ENSDARG00000006413,5832.144931,0.48373654,0.090730454,5.331578535,9.74e-08,1.52e-06,rpl38
ENSDARG00000058257,29.0959609,2.595717479,0.486875273,5.331380788,9.75e-08,1.52e-06,slc39a1
ENSDARG00000079276,140.4618308,-1.1020124,0.206869192,-5.327097724,9.98e-08,1.56e-06,ube2ql1
ENSDARG00000103277,72.05511518,-1.728978491,0.32481296,-5.322997243,1.02e-07,1.59e-06,cyp24a1
ENSDARG00000018936,495.7018455,0.655683852,0.123207172,5.321799369,1.03e-07,1.6e-06,zcchc17
ENSDARG00000103712,220.8191482,0.920946277,0.173124969,5.319546242,1.04e-07,1.62e-06,plpp7
ENSDARG00000078118,1761.581228,0.502004529,0.094381697,5.31887587,1.04e-07,1.62e-06,sinhcafl
ENSDARG00000096545,22.15339754,-6.951027018,1.307058218,-5.318069938,1.05e-07,1.63e-06,si:ch211-191a16.5
ENSDARG00000043553,53.20831848,-2.246878932,0.422726632,-5.31520553,1.07e-07,1.66e-06,ches1
ENSDARG00000002506,831.1411421,-0.751818526,0.141482412,-5.313865611,1.07e-07,1.67e-06,zgc:92818
ENSDARG00000062756,20.49038824,-6.83762278,1.287307846,-5.311567704,1.09e-07,1.69e-06,pllp
ENSDARG00000044422,286.0195526,-1.238290517,0.233139533,-5.311370844,1.09e-07,1.69e-06,acvr2ba
ENSDARG00000041232,10579.18363,0.475080719,0.089478228,5.309456056,1.1e-07,1.7e-06,rps29
ENSDARG00000104596,315.2041914,1.19530328,0.225176696,5.308290338,1.11e-07,1.71e-06,gtf2a1l
ENSDARG00000013477,28.10342921,2.677363192,0.504426272,5.307739387,1.11e-07,1.72e-06,gata1a
ENSDARG00000091972,46.94600445,1.871399928,0.352617378,5.307168753,1.11e-07,1.72e-06,si:dkey-58f10.7
ENSDARG00000009133,290.1916507,-0.945034023,0.178066968,-5.307183211,1.11e-07,1.72e-06,myo1eb
ENSDARG00000069331,191.5373297,-0.967396975,0.182284633,-5.307068168,1.11e-07,1.72e-06,trip6
ENSDARG00000021383,449.7624489,0.991562315,0.186891771,5.30554294,1.12e-07,1.73e-06,naalad2
ENSDARG00000012140,2016.44517,0.46866427,0.088335244,5.305518488,1.12e-07,1.73e-06,ccnl1b
ENSDARG00000086418,35.21483179,2.397321699,0.451948471,5.304413782,1.13e-07,1.74e-06,si:ch211-236p5.3
ENSDARG00000103690,125.2531178,-1.215829758,0.229218083,-5.304248875,1.13e-07,1.74e-06,vipas39
ENSDARG00000104489,23.29417671,-3.069241396,0.578712006,-5.303573044,1.14e-07,1.75e-06,CR855389.2
ENSDARG00000057352,27.75830311,-2.583887329,0.48722821,-5.303238354,1.14e-07,1.75e-06,slc25a29
ENSDARG00000039041,603.3774894,-0.60934774,0.114920505,-5.302341315,1.14e-07,1.76e-06,sfrp5
ENSDARG00000070061,194.7089507,0.966400627,0.182271519,5.301983726,1.15e-07,1.76e-06,gfer
ENSDARG00000116300,205.1288154,0.890793589,0.168008712,5.302067847,1.14e-07,1.76e-06,zgc:165515
ENSDARG00000041875,1718.910694,0.454238418,0.085702989,5.300146722,1.16e-07,1.77e-06,ube2v1
ENSDARG00000078768,43.62787503,-2.282018134,0.430699938,-5.298394383,1.17e-07,1.79e-06,abhd15a
ENSDARG00000036834,10912.348,0.817200938,0.154244931,5.298073225,1.17e-07,1.79e-06,krt92
ENSDARG00000059936,420.1558277,-1.175069067,0.221949476,-5.294308815,1.19e-07,1.83e-06,herc4
ENSDARG00000017141,30.0671128,-2.458129904,0.464305119,-5.29421237,1.2e-07,1.83e-06,pla2g4ab
ENSDARG00000016706,4584.000203,0.594850641,0.112381018,5.293159377,1.2e-07,1.84e-06,atic
ENSDARG00000112751,42.47352976,-2.196723023,0.415103408,-5.291989852,1.21e-07,1.85e-06,BX511129.2
ENSDARG00000099596,97.53003551,1.341740212,0.253675293,5.289203358,1.23e-07,1.87e-06,btd
ENSDARG00000019426,835.5832468,-0.937101381,0.177188688,-5.288720142,1.23e-07,1.88e-06,trioa
ENSDARG00000004964,20.48668617,-5.929697811,1.121298783,-5.288240654,1.23e-07,1.88e-06,cyp4t8
ENSDARG00000062487,37.66688556,-2.366583121,0.447561735,-5.287724432,1.24e-07,1.88e-06,si:dkey-6n6.1
ENSDARG00000115102,24.13675184,2.831251934,0.535451859,5.287593805,1.24e-07,1.88e-06,RF00271
ENSDARG00000003487,1373.373942,0.525849147,0.099473789,5.286308622,1.25e-07,1.9e-06,nup93
ENSDARG00000104899,127.8948635,-1.331261357,0.251871953,-5.285468829,1.25e-07,1.9e-06,CR931813.2
ENSDARG00000018404,1595.018707,-0.850950764,0.161106249,-5.28192277,1.28e-07,1.94e-06,krt18
ENSDARG00000089691,49.73831024,-1.916481918,0.362854522,-5.281681225,1.28e-07,1.94e-06,ism2a
ENSDARG00000078546,231.1984178,-0.908659831,0.172171506,-5.277643498,1.31e-07,1.98e-06,cars2
ENSDARG00000100452,3138.983731,0.486373963,0.092171296,5.2768485,1.31e-07,1.99e-06,nop53
ENSDARG00000088924,321.3248036,0.814553348,0.154537546,5.270909041,1.36e-07,2.05e-06,si:dkey-185e18.7
ENSDARG00000063627,2017.909739,0.499732171,0.094857237,5.268255587,1.38e-07,2.08e-06,bop1
ENSDARG00000056314,2929.14121,0.79497982,0.150920641,5.267535415,1.38e-07,2.09e-06,a2ml
ENSDARG00000069318,69.87494398,-1.927113373,0.365910657,-5.266622699,1.39e-07,2.1e-06,AL928995.1
ENSDARG00000012467,362.9929526,0.84122528,0.159787411,5.264653037,1.4e-07,2.12e-06,spint1b
ENSDARG00000040261,12.22971352,-7.066525041,1.34232144,-5.264405997,1.41e-07,2.12e-06,runx2a
ENSDARG00000062949,60.63742673,-1.751155419,0.33282865,-5.261432322,1.43e-07,2.15e-06,nt5dc3
ENSDARG00000008986,829.5425535,0.558136596,0.106085138,5.261213859,1.43e-07,2.15e-06,e2f7
ENSDARG00000101623,60.01061807,2.614187855,0.496894312,5.261054095,1.43e-07,2.16e-06,znf992
ENSDARG00000096000,29.24384875,-2.472744633,0.470029794,-5.260825305,1.43e-07,2.16e-06,si:dkey-29j8.2
ENSDARG00000053240,26.26924771,-2.795863611,0.531532454,-5.260005464,1.44e-07,2.16e-06,kif6
ENSDARG00000015970,273.2758069,-2.529658405,0.481318838,-5.255681281,1.47e-07,2.21e-06,phip
ENSDARG00000069823,48.10133128,1.916030912,0.364631076,5.254710967,1.48e-07,2.22e-06,proca1
ENSDARG00000114063,61.65942868,1.611921199,0.306872116,5.252745743,1.5e-07,2.25e-06,parm1
ENSDARG00000062135,46.74937062,-2.218924126,0.422469893,-5.25226569,1.5e-07,2.25e-06,sytl5
ENSDARG00000003822,23.12485193,-3.168488078,0.603361598,-5.251391686,1.51e-07,2.26e-06,ankrd16
ENSDARG00000109929,672.0953458,-0.63848081,0.121606662,-5.250376894,1.52e-07,2.27e-06,CABZ01058721.1
ENSDARG00000044357,294.4973859,-0.834435101,0.158936045,-5.250131285,1.52e-07,2.27e-06,tbc1d23
ENSDARG00000045885,1997.001159,0.931536336,0.17745688,5.249367251,1.53e-07,2.28e-06,scaf11
ENSDARG00000068275,20.1530063,-5.905614968,1.125213518,-5.248439408,1.53e-07,2.29e-06,ptx3a
ENSDARG00000110056,194.5456957,0.980950443,0.186950764,5.247105832,1.55e-07,2.31e-06,CU929160.1
ENSDARG00000079348,46.61444204,1.982137961,0.377968491,5.244188363,1.57e-07,2.34e-06,LO018552.1
ENSDARG00000076060,230.0220563,-1.055220668,0.201348248,-5.24077403,1.6e-07,2.38e-06,diaph2
ENSDARG00000027734,3309.46302,0.564812871,0.10779601,5.239645442,1.61e-07,2.4e-06,srsf5b
ENSDARG00000056369,160.427091,-1.457694096,0.278365998,-5.236609747,1.64e-07,2.43e-06,ufsp2
ENSDARG00000104571,18.50661653,-6.689465216,1.277539851,-5.23620865,1.64e-07,2.44e-06,gadd45ab
ENSDARG00000027345,93.19788153,-1.411600385,0.269793996,-5.232141589,1.68e-07,2.49e-06,mpzl2b
ENSDARG00000036456,515.0054687,0.753103107,0.143971708,5.230910431,1.69e-07,2.5e-06,anxa4
ENSDARG00000100371,90577.83973,0.43078036,0.082362458,5.230299915,1.69e-07,2.51e-06,eef2b
ENSDARG00000092033,34.69845105,-2.271926,0.434512947,-5.228672731,1.71e-07,2.53e-06,si:dkey-239h2.3
ENSDARG00000056374,17.85516925,4.365510866,0.835077902,5.227669008,1.72e-07,2.54e-06,noxo1b
ENSDARG00000063730,29.89681237,-2.928129089,0.560246674,-5.226499724,1.73e-07,2.56e-06,osbpl6
ENSDARG00000078222,66.59881668,-1.676266879,0.320740486,-5.226240384,1.73e-07,2.56e-06,aatka
ENSDARG00000073974,345.699585,-0.932110601,0.178382658,-5.22534316,1.74e-07,2.57e-06,colgalt1
ENSDARG00000077686,131.6924089,-1.336014741,0.255747868,-5.223952601,1.75e-07,2.59e-06,aak1b
ENSDARG00000075931,494.8642303,0.837190976,0.160269806,5.223635043,1.75e-07,2.59e-06,acsl5
ENSDARG00000094181,64.76185186,-2.150746835,0.4117677,-5.22320433,1.76e-07,2.6e-06,shroom1
ENSDARG00000101332,1721.249927,-0.57068734,0.109271273,-5.222665774,1.76e-07,2.6e-06,uba2
ENSDARG00000058325,134.9776587,-1.272623412,0.243763712,-5.22072544,1.78e-07,2.63e-06,casp8
ENSDARG00000033802,34.37448683,-2.683823418,0.514303497,-5.218365095,1.81e-07,2.66e-06,cyp27a7
ENSDARG00000098359,833.5370428,0.541071952,0.103731631,5.216074877,1.83e-07,2.69e-06,il17rd
ENSDARG00000078557,20.97361544,-3.711070762,0.71162673,-5.214911986,1.84e-07,2.7e-06,si:ch211-57n23.4
ENSDARG00000029019,157.3538732,1.562521293,0.299638241,5.214692513,1.84e-07,2.71e-06,epb41b
ENSDARG00000003189,5477.781112,0.439524791,0.084355475,5.210388459,1.88e-07,2.77e-06,psmd1
ENSDARG00000038121,187.8705548,-1.599063626,0.306931728,-5.209834896,1.89e-07,2.77e-06,si:ch211-13k12.2
ENSDARG00000032765,3594.777996,0.458683602,0.088058066,5.208876613,1.9e-07,2.79e-06,net1
ENSDARG00000008788,247.4407336,1.053458763,0.202333954,5.206534746,1.92e-07,2.82e-06,camk1gb
ENSDARG00000087306,39.32254669,-2.139271888,0.410984361,-5.205239159,1.94e-07,2.84e-06,CABZ01038521.1
ENSDARG00000008398,32.2181317,-2.515824144,0.483409044,-5.20433818,1.95e-07,2.85e-06,cacna1c
ENSDARG00000100613,16.84911685,-4.276669274,0.821747953,-5.204356468,1.95e-07,2.85e-06,CABZ01089777.1
ENSDARG00000092478,108.9008484,-1.291861892,0.248438484,-5.199926639,1.99e-07,2.91e-06,sdhaf1
ENSDARG00000102471,245.5350632,-1.156063829,0.222364732,-5.198953177,2e-07,2.93e-06,trak2
ENSDARG00000089402,19.33424977,-3.973063851,0.764347272,-5.197982637,2.01e-07,2.94e-06,si:ch73-281i18.3
ENSDARG00000028857,17.83620406,-5.127707433,0.986750807,-5.196557626,2.03e-07,2.96e-06,sgsm1a
ENSDARG00000103902,699.6221576,-0.838011247,0.161371268,-5.193063539,2.07e-07,3.02e-06,nde1
ENSDARG00000111465,22.97750044,3.160008765,0.60858967,5.192347029,2.08e-07,3.02e-06,znf1104
ENSDARG00000040184,15424.24944,0.394807144,0.076062945,5.190531931,2.1e-07,3.05e-06,syncrip
ENSDARG00000074521,17.3484582,-3.806295041,0.733411781,-5.189847147,2.1e-07,3.06e-06,map6a
ENSDARG00000052907,27.25273069,-2.856483493,0.550597099,-5.187974112,2.13e-07,3.09e-06,bcl7a
ENSDARG00000014333,545.1142584,0.672613084,0.129672522,5.187013213,2.14e-07,3.1e-06,ormdl1
ENSDARG00000038432,899.961594,0.549713094,0.105978791,5.187010425,2.14e-07,3.1e-06,actr10
ENSDARG00000089791,252.3844444,0.967390536,0.186528221,5.186295845,2.15e-07,3.11e-06,slc25a32a
ENSDARG00000093131,18.35183324,6.678366581,1.28810717,5.184635827,2.16e-07,3.14e-06,si:ch211-57f7.7
ENSDARG00000089179,18.01617099,-4.100975935,0.791001991,-5.184533015,2.17e-07,3.14e-06,si:dkey-16p6.1
ENSDARG00000098932,414.7642103,-1.185910578,0.228997743,-5.178699853,2.23e-07,3.24e-06,gigyf1a
ENSDARG00000097819,745.5943223,-0.700395481,0.135248896,-5.178567107,2.24e-07,3.24e-06,znf576.1
ENSDARG00000103052,202.7586421,-1.376522719,0.265861348,-5.177596247,2.25e-07,3.25e-06,pcyox1
ENSDARG00000044010,208.2126952,-0.891980336,0.172325283,-5.176143158,2.27e-07,3.27e-06,loxl2a
ENSDARG00000007329,404.4701953,0.769777208,0.14877363,5.17415089,2.29e-07,3.31e-06,tbx16
ENSDARG00000061472,377.7716083,-0.696264323,0.134617016,-5.172186585,2.31e-07,3.34e-06,gba2
ENSDARG00000025299,19.66343535,-5.869474375,1.135132088,-5.170741304,2.33e-07,3.36e-06,tspan9a
ENSDARG00000102447,30.39674677,-2.60203319,0.503283732,-5.170111853,2.34e-07,3.37e-06,gdpd4a
ENSDARG00000056978,99.97225005,-1.574278499,0.304637672,-5.167707885,2.37e-07,3.41e-06,letm1
ENSDARG00000095993,22.31826268,2.895767222,0.560890136,5.162806464,2.43e-07,3.5e-06,znf1073
ENSDARG00000012892,1197.288794,-0.700201039,0.135641014,-5.162163119,2.44e-07,3.51e-06,ammecr1
ENSDARG00000033320,271.073734,0.886504586,0.171793012,5.160306453,2.47e-07,3.54e-06,sar1ab
ENSDARG00000026519,477.0263737,0.762093223,0.147738453,5.1583945,2.49e-07,3.58e-06,ralgps2
ENSDARG00000092471,32.05289073,-2.233275165,0.433126341,-5.156174897,2.52e-07,3.61e-06,si:dkey-7j22.1
ENSDARG00000102898,40.65920243,-2.407535652,0.466923917,-5.15616263,2.52e-07,3.61e-06,mtf1
ENSDARG00000061718,30.56736904,-2.547841007,0.49412776,-5.156239365,2.52e-07,3.61e-06,znf704
ENSDARG00000039974,419.6407264,0.711900107,0.1380916,5.155274509,2.53e-07,3.63e-06,rai14
ENSDARG00000006422,265.6320341,0.935473387,0.18146431,5.155137046,2.53e-07,3.63e-06,esyt3
ENSDARG00000103988,1187.884808,0.722027554,0.140180985,5.150681123,2.6e-07,3.71e-06,mymk
ENSDARG00000062521,84.6023889,-1.660089451,0.32242994,-5.148682697,2.62e-07,3.75e-06,atp9b
ENSDARG00000087483,345.5910598,-0.891795118,0.173311,-5.145634843,2.67e-07,3.81e-06,si:dkey-226l10.6
ENSDARG00000089368,365.2828381,0.720626245,0.1400987,5.143704024,2.69e-07,3.85e-06,hopx
ENSDARG00000076153,65.09846168,-1.593507486,0.309926547,-5.141565001,2.72e-07,3.89e-06,lca5
ENSDARG00000053122,60.31153956,-1.741028102,0.338620602,-5.141530358,2.73e-07,3.89e-06,clvs2
ENSDARG00000012137,34.05253929,2.498556079,0.486170888,5.139254822,2.76e-07,3.93e-06,cyp46a1.1
ENSDARG00000025091,1196.982187,0.496745203,0.096657506,5.139230509,2.76e-07,3.93e-06,ezrb
ENSDARG00000009242,55.0169885,-1.707661614,0.332278678,-5.139245239,2.76e-07,3.93e-06,fev
ENSDARG00000040387,332.4908569,-0.808222404,0.157275299,-5.138902347,2.76e-07,3.93e-06,mmd
ENSDARG00000098871,147.5603716,-1.189846998,0.23160237,-5.137456044,2.78e-07,3.96e-06,GGA3
ENSDARG00000067567,72.20032037,-1.808276711,0.352094779,-5.135766899,2.81e-07,3.99e-06,SLC6A13
ENSDARG00000053474,40.8333028,2.090109016,0.407197106,5.13291717,2.85e-07,4.05e-06,tdrkh
ENSDARG00000060534,140.9571183,-1.016688539,0.198084667,-5.132595848,2.86e-07,4.05e-06,sgpp1
ENSDARG00000043802,23.97114263,3.345113206,0.652338976,5.127875738,2.93e-07,4.15e-06,ms4a17a.8
ENSDARG00000037079,462.8112989,0.650659995,0.126899417,5.127367869,2.94e-07,4.16e-06,cfap36
